"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"ru.ifmo.mpp.jmh.Benchmarks.incThreadCount","thrpt",10,50,"0,558201","0,005208","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline","thrpt",10,50,"0,890774","0,010971","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline:reader","thrpt",10,50,"0,228686","0,008872","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline:writer","thrpt",10,50,"0,662088","0,011923","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded","thrpt",10,50,"0,942623","0,009957","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded:reader","thrpt",10,50,"0,292635","0,006228","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded:writer","thrpt",10,50,"0,649988","0,011872","ops/ns"
"ru.ifmo.mpp.jmh.Locks.lockBenchmark","thrpt",10,50,"0,034186","0,000258","ops/ns"
"ru.ifmo.mpp.jmh.Locks.lockThreads","thrpt",10,50,"0,101547","0,002278","ops/ns"
"ru.ifmo.mpp.jmh.Locks.syncronizedBenchmark","thrpt",10,50,"0,024430","0,000273","ops/ns"
"ru.ifmo.mpp.jmh.Locks.syncronizedThread","thrpt",10,50,"0,101325","0,000284","ops/ns"
"ru.ifmo.mpp.jmh.Locks.volatileBenchmark","thrpt",10,50,"0,615304","0,028798","ops/ns"
"ru.ifmo.mpp.jmh.Locks.volatileThread","thrpt",10,50,"0,214225","0,000718","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark","thrpt",10,50,"0,550145","0,025392","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark:reader","thrpt",10,50,"0,067212","0,006183","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark:writer","thrpt",10,50,"0,482934","0,027203","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread","thrpt",10,50,"0,952085","0,008514","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread:reader","thrpt",10,50,"0,295959","0,005675","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread:writer","thrpt",10,50,"0,656126","0,011880","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark","thrpt",10,50,"0,555425","0,009865","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark:reader","thrpt",10,50,"0,067603","0,005609","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark:writer","thrpt",10,50,"0,487821","0,012044","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread","thrpt",10,50,"0,488731","0,008878","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread:reader","thrpt",10,50,"0,355595","0,007216","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread:writer","thrpt",10,50,"0,133136","0,003510","ops/ns"
