"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"ru.ifmo.mpp.jmh.Benchmarks.incThreadCount","thrpt",9,50,"0,562262","0,001894","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline","thrpt",10,50,"0,905721","0,010808","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline:reader","thrpt",10,50,"0,237605","0,010669","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline:writer","thrpt",10,50,"0,668116","0,011277","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded","thrpt",10,50,"0,959657","0,008980","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded:reader","thrpt",10,50,"0,295589","0,006176","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded:writer","thrpt",10,50,"0,664069","0,012846","ops/ns"
"ru.ifmo.mpp.jmh.Locks.lockBenchmark","thrpt",9,50,"0,033976","0,000249","ops/ns"
"ru.ifmo.mpp.jmh.Locks.lockThreads","thrpt",9,50,"0,103682","0,000402","ops/ns"
"ru.ifmo.mpp.jmh.Locks.syncronizedBenchmark","thrpt",9,50,"0,024484","0,000435","ops/ns"
"ru.ifmo.mpp.jmh.Locks.syncronizedThread","thrpt",9,50,"0,101502","0,000329","ops/ns"
"ru.ifmo.mpp.jmh.Locks.volatileBenchmark","thrpt",9,50,"0,607039","0,039871","ops/ns"
"ru.ifmo.mpp.jmh.Locks.volatileThread","thrpt",9,50,"0,213494","0,000367","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark","thrpt",10,50,"0,551516","0,016886","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark:reader","thrpt",10,50,"0,063886","0,005841","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark:writer","thrpt",10,50,"0,487630","0,018682","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread","thrpt",10,50,"0,959890","0,007844","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread:reader","thrpt",10,50,"0,296939","0,005265","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread:writer","thrpt",10,50,"0,662951","0,011176","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark","thrpt",10,50,"0,555729","0,010300","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark:reader","thrpt",10,50,"0,067726","0,006067","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark:writer","thrpt",10,50,"0,488003","0,012051","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread","thrpt",10,50,"0,494297","0,009748","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread:reader","thrpt",10,50,"0,357073","0,008592","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread:writer","thrpt",10,50,"0,137225","0,003449","ops/ns"
