"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"ru.ifmo.mpp.jmh.Benchmarks.incThreadCount","thrpt",1,50,"0,272217","0,012185","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline","thrpt",2,50,"0,394536","0,027846","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline:reader","thrpt",2,50,"0,072286","0,025518","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline:writer","thrpt",2,50,"0,322250","0,014972","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded","thrpt",2,50,"0,555246","0,031095","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded:reader","thrpt",2,50,"0,231587","0,022442","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded:writer","thrpt",2,50,"0,323660","0,010736","ops/ns"
"ru.ifmo.mpp.jmh.Locks.lockBenchmark","thrpt",1,50,"0,038694","0,001619","ops/ns"
"ru.ifmo.mpp.jmh.Locks.lockThreads","thrpt",1,50,"0,038850","0,001548","ops/ns"
"ru.ifmo.mpp.jmh.Locks.syncronizedBenchmark","thrpt",1,50,"0,032047","0,000367","ops/ns"
"ru.ifmo.mpp.jmh.Locks.syncronizedThread","thrpt",1,50,"0,032374","0,000380","ops/ns"
"ru.ifmo.mpp.jmh.Locks.volatileBenchmark","thrpt",1,50,"0,356895","0,006068","ops/ns"
"ru.ifmo.mpp.jmh.Locks.volatileThread","thrpt",1,50,"0,129243","0,000686","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark","thrpt",2,50,"0,397925","0,006625","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark:reader","thrpt",2,50,"0,049716","0,003189","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark:writer","thrpt",2,50,"0,348209","0,004943","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread","thrpt",2,50,"0,604049","0,012806","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread:reader","thrpt",2,50,"0,267618","0,013455","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread:writer","thrpt",2,50,"0,336430","0,003899","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark","thrpt",2,50,"0,391307","0,010177","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark:reader","thrpt",2,50,"0,047552","0,003613","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark:writer","thrpt",2,50,"0,343755","0,008460","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread","thrpt",2,50,"0,383175","0,019703","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread:reader","thrpt",2,50,"0,270910","0,015108","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread:writer","thrpt",2,50,"0,112265","0,005157","ops/ns"
