"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"ru.ifmo.mpp.jmh.Benchmarks.incThreadCount","thrpt",5,50,"0,549870","0,010607","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline","thrpt",6,50,"0,809312","0,033953","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline:reader","thrpt",6,50,"0,173405","0,017006","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline:writer","thrpt",6,50,"0,635907","0,030059","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded","thrpt",6,50,"0,934164","0,015308","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded:reader","thrpt",6,50,"0,282201","0,011327","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded:writer","thrpt",6,50,"0,651963","0,020039","ops/ns"
"ru.ifmo.mpp.jmh.Locks.lockBenchmark","thrpt",5,50,"0,033134","0,001183","ops/ns"
"ru.ifmo.mpp.jmh.Locks.lockThreads","thrpt",5,50,"0,101679","0,001440","ops/ns"
"ru.ifmo.mpp.jmh.Locks.syncronizedBenchmark","thrpt",5,50,"0,024202","0,000463","ops/ns"
"ru.ifmo.mpp.jmh.Locks.syncronizedThread","thrpt",5,50,"0,101129","0,001816","ops/ns"
"ru.ifmo.mpp.jmh.Locks.volatileBenchmark","thrpt",5,50,"0,618524","0,003034","ops/ns"
"ru.ifmo.mpp.jmh.Locks.volatileThread","thrpt",5,50,"0,212396","0,001144","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark","thrpt",6,50,"0,546328","0,019014","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark:reader","thrpt",6,50,"0,049568","0,004105","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark:writer","thrpt",6,50,"0,496760","0,021834","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread","thrpt",6,50,"0,898930","0,042760","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread:reader","thrpt",6,50,"0,273139","0,017775","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread:writer","thrpt",6,50,"0,625792","0,035732","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark","thrpt",6,50,"0,333861","0,093168","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark:reader","thrpt",6,50,"0,030432","0,007675","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark:writer","thrpt",6,50,"0,303430","0,086241","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread","thrpt",6,50,"0,165882","0,005287","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread:reader","thrpt",6,50,"0,119368","0,004757","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread:writer","thrpt",6,50,"0,046514","0,001789","ops/ns"
