"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"ru.ifmo.mpp.jmh.Benchmarks.incThreadCount","thrpt",8,50,"0,558264","0,009126","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline","thrpt",8,50,"0,883863","0,012940","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline:reader","thrpt",8,50,"0,206303","0,008515","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline:writer","thrpt",8,50,"0,677560","0,014488","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded","thrpt",8,50,"0,953599","0,011093","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded:reader","thrpt",8,50,"0,297475","0,007125","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded:writer","thrpt",8,50,"0,656124","0,013593","ops/ns"
"ru.ifmo.mpp.jmh.Locks.lockBenchmark","thrpt",8,50,"0,034399","0,000221","ops/ns"
"ru.ifmo.mpp.jmh.Locks.lockThreads","thrpt",8,50,"0,101716","0,000495","ops/ns"
"ru.ifmo.mpp.jmh.Locks.syncronizedBenchmark","thrpt",8,50,"0,024900","0,000358","ops/ns"
"ru.ifmo.mpp.jmh.Locks.syncronizedThread","thrpt",8,50,"0,101365","0,000344","ops/ns"
"ru.ifmo.mpp.jmh.Locks.volatileBenchmark","thrpt",8,50,"0,622788","0,001929","ops/ns"
"ru.ifmo.mpp.jmh.Locks.volatileThread","thrpt",8,50,"0,212924","0,000592","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark","thrpt",8,50,"0,546144","0,012650","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark:reader","thrpt",8,50,"0,059131","0,004747","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark:writer","thrpt",8,50,"0,487013","0,013121","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread","thrpt",8,50,"0,953261","0,009003","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread:reader","thrpt",8,50,"0,298742","0,007624","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread:writer","thrpt",8,50,"0,654519","0,015671","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark","thrpt",8,50,"0,540912","0,020003","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark:reader","thrpt",8,50,"0,058205","0,004618","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark:writer","thrpt",8,50,"0,482707","0,022272","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread","thrpt",8,50,"0,497374","0,008859","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread:reader","thrpt",8,50,"0,362004","0,007907","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread:writer","thrpt",8,50,"0,135370","0,003045","ops/ns"
