"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"ru.ifmo.mpp.jmh.Benchmarks.incThreadCount","thrpt",3,50,"0,537907","0,008270","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline","thrpt",4,50,"0,771302","0,019647","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline:reader","thrpt",4,50,"0,111494","0,028203","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline:writer","thrpt",4,50,"0,659808","0,019914","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded","thrpt",4,50,"0,922044","0,027326","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded:reader","thrpt",4,50,"0,281288","0,012175","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded:writer","thrpt",4,50,"0,640755","0,018669","ops/ns"
"ru.ifmo.mpp.jmh.Locks.lockBenchmark","thrpt",3,50,"0,020299","0,001171","ops/ns"
"ru.ifmo.mpp.jmh.Locks.lockThreads","thrpt",3,50,"0,087202","0,002113","ops/ns"
"ru.ifmo.mpp.jmh.Locks.syncronizedBenchmark","thrpt",3,50,"0,015781","0,000891","ops/ns"
"ru.ifmo.mpp.jmh.Locks.syncronizedThread","thrpt",3,50,"0,080279","0,000874","ops/ns"
"ru.ifmo.mpp.jmh.Locks.volatileBenchmark","thrpt",3,50,"0,631012","0,002122","ops/ns"
"ru.ifmo.mpp.jmh.Locks.volatileThread","thrpt",3,50,"0,225156","0,001658","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark","thrpt",4,50,"0,550466","0,052774","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark:reader","thrpt",4,50,"0,045283","0,005651","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark:writer","thrpt",4,50,"0,505182","0,058028","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread","thrpt",4,50,"0,939229","0,014590","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread:reader","thrpt",4,50,"0,284779","0,011132","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread:writer","thrpt",4,50,"0,654450","0,005575","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark","thrpt",4,50,"0,543649","0,051022","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark:reader","thrpt",4,50,"0,045668","0,005919","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark:writer","thrpt",4,50,"0,497981","0,056416","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread","thrpt",4,50,"0,501428","0,031181","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread:reader","thrpt",4,50,"0,363313","0,021849","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread:writer","thrpt",4,50,"0,138115","0,010995","ops/ns"
