"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"ru.ifmo.mpp.jmh.Benchmarks.incThreadCount","thrpt",6,50,"0,188590","0,003992","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline","thrpt",6,50,"0,288192","0,006135","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline:reader","thrpt",6,50,"0,062942","0,005312","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline:writer","thrpt",6,50,"0,225250","0,007565","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded","thrpt",6,50,"0,314795","0,007394","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded:reader","thrpt",6,50,"0,094998","0,004577","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded:writer","thrpt",6,50,"0,219797","0,008311","ops/ns"
"ru.ifmo.mpp.jmh.Locks.lockBenchmark","thrpt",6,50,"0,010887","0,000345","ops/ns"
"ru.ifmo.mpp.jmh.Locks.lockThreads","thrpt",6,50,"0,034670","0,000643","ops/ns"
"ru.ifmo.mpp.jmh.Locks.syncronizedBenchmark","thrpt",6,50,"0,008080","0,000117","ops/ns"
"ru.ifmo.mpp.jmh.Locks.syncronizedThread","thrpt",6,50,"0,034435","0,000487","ops/ns"
"ru.ifmo.mpp.jmh.Locks.volatileBenchmark","thrpt",6,50,"0,215324","0,001724","ops/ns"
"ru.ifmo.mpp.jmh.Locks.volatileThread","thrpt",6,50,"0,073138","0,000534","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark","thrpt",6,50,"0,181967","0,013489","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark:reader","thrpt",6,50,"0,018047","0,001749","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark:writer","thrpt",6,50,"0,163919","0,012853","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread","thrpt",6,50,"0,310511","0,012808","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread:reader","thrpt",6,50,"0,095586","0,005263","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread:writer","thrpt",6,50,"0,214925","0,010737","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark","thrpt",6,50,"0,186829","0,008101","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark:reader","thrpt",6,50,"0,018056","0,001548","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark:writer","thrpt",6,50,"0,168773","0,008857","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread","thrpt",6,50,"0,162247","0,005458","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread:reader","thrpt",6,50,"0,116306","0,005714","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread:writer","thrpt",6,50,"0,045941","0,001918","ops/ns"
