"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"ru.ifmo.mpp.jmh.Benchmarks.incThreadCount","thrpt",4,50,"0,550434","0,010847","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline","thrpt",4,50,"0,771142","0,022095","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline:reader","thrpt",4,50,"0,097839","0,020512","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.baseline:writer","thrpt",4,50,"0,673303","0,009601","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded","thrpt",4,50,"0,941047","0,015532","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded:reader","thrpt",4,50,"0,287340","0,010418","ops/ns"
"ru.ifmo.mpp.jmh.FalseSharing.padded:writer","thrpt",4,50,"0,653707","0,007910","ops/ns"
"ru.ifmo.mpp.jmh.Locks.lockBenchmark","thrpt",4,50,"0,023803","0,000921","ops/ns"
"ru.ifmo.mpp.jmh.Locks.lockThreads","thrpt",4,50,"0,102339","0,001406","ops/ns"
"ru.ifmo.mpp.jmh.Locks.syncronizedBenchmark","thrpt",4,50,"0,015272","0,000442","ops/ns"
"ru.ifmo.mpp.jmh.Locks.syncronizedThread","thrpt",4,50,"0,101285","0,000872","ops/ns"
"ru.ifmo.mpp.jmh.Locks.volatileBenchmark","thrpt",4,50,"0,621080","0,003057","ops/ns"
"ru.ifmo.mpp.jmh.Locks.volatileThread","thrpt",4,50,"0,212234","0,001294","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark","thrpt",4,50,"0,557436","0,048063","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark:reader","thrpt",4,50,"0,046236","0,006746","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineBenchmark:writer","thrpt",4,50,"0,511200","0,054395","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread","thrpt",4,50,"0,938019","0,015059","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread:reader","thrpt",4,50,"0,284466","0,009864","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.baselineThread:writer","thrpt",4,50,"0,653553","0,008190","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark","thrpt",4,50,"0,586356","0,043182","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark:reader","thrpt",4,50,"0,041967","0,005139","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileBenchmark:writer","thrpt",4,50,"0,544389","0,048079","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread","thrpt",4,50,"0,483160","0,030495","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread:reader","thrpt",4,50,"0,348246","0,020396","ops/ns"
"ru.ifmo.mpp.jmh.Volatile.volatileThread:writer","thrpt",4,50,"0,134914","0,012458","ops/ns"
